,Time,Uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,RAM,SWAP,EMC,GPU,APE,NVDEC,NVENC,NVJPG,NVJPG1,SE,VIC,Fan pwmfan0,Temp CPU,Temp CV0,Temp CV1,Temp CV2,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp tj,Power tj,Power TOT,jetson_clocks,nvp model,time,uptime
0,2023-12-14 15:24:41,0:00:25.160000,41,33,32,27,30,26,0.1676775757005388,0.0,0,46.4,OFF,OFF,OFF,OFF,OFF,307200,OFF,58.431372549019606,56.062,-256.0,-256.0,-256.0,55.218,52.906,54.406,54.937,56.125,1791,9130,OFF,15W,2023-12-14 15:24:41.815899,0 days 00:00:25.160000
0,2023-12-14 15:26:17,0:01:25.220000,9,86,15,16,20,7,0.5997218496994984,0.0,0,9.6,OFF,OFF,OFF,OFF,OFF,307200,OFF,52.15686274509804,53.593,-256.0,-256.0,-256.0,53.468,51.218,52.968,52.75,53.593,1680,6931,OFF,15W,2023-12-14 15:26:17.984422,0 days 00:01:25.220000
0,2023-12-14 15:27:18,0:02:25.280000,45,26,44,33,12,18,0.6000465326630539,0.0,0,18.5,OFF,OFF,OFF,OFF,OFF,307200,OFF,52.15686274509804,53.406,-256.0,-256.0,-256.0,53.187,50.812,52.437,52.531,53.406,1680,7040,OFF,15W,2023-12-14 15:27:18.062180,0 days 00:02:25.280000
0,2023-12-14 15:28:18,0:03:25.330000,98,96,94,95,95,99,0.6306362688123975,0.0,0,52.2,OFF,OFF,OFF,OFF,OFF,307200,OFF,55.294117647058826,54.531,-256.0,-256.0,-256.0,53.5,51.312,52.75,53.187,54.531,1677,8626,OFF,15W,2023-12-14 15:28:18.136392,0 days 00:03:25.330000
0,2023-12-14 15:29:18,0:04:25.380000,99,99,99,99,98,100,0.6311983206414188,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,307200,OFF,55.294117647058826,55.281,-256.0,-256.0,-256.0,54.562,52.031,53.687,54.0,55.281,1677,8626,OFF,15W,2023-12-14 15:29:18.212410,0 days 00:04:25.380000
0,2023-12-14 15:30:18,0:05:25.430000,98,99,99,98,100,100,0.6327469694949638,0.0,0,11.5,OFF,OFF,OFF,OFF,OFF,307200,OFF,57.64705882352941,55.625,-256.0,-256.0,-256.0,54.593,52.125,53.843,54.125,55.843,1717,8785,OFF,15W,2023-12-14 15:30:18.296399,0 days 00:05:25.430000
0,2023-12-14 15:31:18,0:06:25.480000,99,99,99,99,99,99,0.6316395966820643,0.0,0,3.1,OFF,OFF,OFF,OFF,OFF,307200,OFF,57.64705882352941,55.843,-256.0,-256.0,-256.0,54.718,52.281,54.062,54.343,55.531,1677,8666,OFF,15W,2023-12-14 15:31:18.380395,0 days 00:06:25.480000
0,2023-12-14 15:32:18,0:07:25.530000,99,99,100,100,100,99,0.6318335699179405,0.0,0,52.1,OFF,OFF,OFF,OFF,OFF,307200,OFF,57.64705882352941,55.968,-256.0,-256.0,-256.0,55.156,52.531,54.218,54.468,55.968,1677,8666,OFF,15W,2023-12-14 15:32:18.452394,0 days 00:07:25.530000
0,2023-12-14 15:33:18,0:08:25.580000,97,98,99,97,98,98,0.6337910787996665,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,307200,OFF,57.254901960784316,55.843,-256.0,-256.0,-256.0,54.718,52.312,53.968,54.343,55.843,1677,8706,OFF,15W,2023-12-14 15:33:18.532396,0 days 00:08:25.580000
0,2023-12-14 15:34:18,0:09:25.620000,98,98,98,98,100,98,0.6353339764251935,0.0,0,0.0,OFF,OFF,OFF,OFF,OFF,307200,OFF,57.254901960784316,56.125,-256.0,-256.0,-256.0,55.062,52.75,54.343,54.625,56.375,1717,8785,OFF,15W,2023-12-14 15:34:18.604382,0 days 00:09:25.620000
